BatchId,OrderNo,DocDate,CustomerId,CustomerName,Address1,Address2,City,ST,Zip,Phone,Comment,FCID,FCPhone,ItemNo,ItemDesc,UOM,UOMQty,LineSeq,OrderQty,Unit/Each,PickQty
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2209,Tuna C-Tatakimi 22lbs,CS22,22,1,1,Unit,1
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2210,MSC Tuna A,CS22,22,2,1,Unit,1
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2232,Smoked Atlantic  Salmon   (24),CS24,24,3,1,Unit,1
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2237,ASC Atlantic Salmon,CS22,22,4,3,Unit,3
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2418,Tempura Shrimp 10Pc 15tray/CS,CS15,15,5,2,Unit,2
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2440,Crab Stick Imi  H.G. CS16,CS16,16,6,3,Unit,3
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2810,Grilled Dumpling Shrimp 30/CS,CS30,30,7,1,Unit,1
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2821,Pork Shumai 108pc/CS,CS,1,8,3,Unit,3
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,2837,Chicken Skewers (Yakitori) 20bags/cs,CS,1,16410,1,Unit,1
122920-J STK,A376316,12/20/2020,SAF2528,Safeway 2528,615 SW Keck Drive,,McMinnville,OR,97128,--,No comment,Z-008,310-604-3200,6303,50 Cent Off W/card,ROLL,1,22,2,,2
