Customer Class, Description, Special Brown Rice, No.6 Container, Tuna Saku, Tuna Tatakimi, Eel, Retail Seaweed, Retail Ginger Bottle, Retail Ginger Cup, MSC Tuna
1KRO,Kroger; Fred Meyer; QFC,,,X,X,,X,X,,
1KRO-ST,Bakers; Dillons; Fred Meyer; Gerbes; QFC,,X,X,X,,X,X,,
1KRO-ST-COMP,QFC851 allowed compostable container,,X,X,X,,X,X,,
1KRO-ST-KO,Same restrictions as 1KRO-ST but also allowed Kosher ings,,X,X,X,,X,X,,
1KRO-STM,Fred Meyer; Kroger; QFC,,,X,X,,X,X,,
1KRO-STM-KO,Same restrictions as 1KRO-STM but allows Kosher ings,,,X,X,,X,X,,
1MDB,MDB,X,X,X,X,X,X,X,,
1MDB-NON6,MDB not allowed #6 container,X,,X,X,X,X,X,,
1MDB-NON6-NOGAR,MDB with CA restrictions,X,,X,X,X,,,X,
1SAF,Albertsons; Carrs; Randalls; Safeway; Tom Thumb; Vons,,X,,X,,X,X,,X
1SAF-AFCCONT,LGM001; ZUP001,,,X,X,,X,X,,
1SAF-NON6,Pavilions; Safeway; Vons; El Super; in CA not allowed #6 container,,,,X,,,,X,X
1SAF-WRAPS-NON6,Albertsons; Safeway; Vons in CA not allowed #6 containers,,,,X,,,,X,X
1SHA,Shaws,,X,,X,,X,X,,X
1SHA-AFC,Shaws; Star Market,,,,X,,X,X,,X
A,,,,X,,,,,,
AFC,,,,X,,,,,,
ALB-UNITED-OWN,Same as 1SAF for Albertsons stores owned by United Market,,X,X,X,,X,X,,
AMZ,Amazon Fresh Supermarkets,,,X,X,,,,,
BGY,Big Y,,,X,,X,X,X,,
C,,,,,,,,,,
CUB,Cub,,,X,X,X,X,X,,
DON,Donelans,,,X,X,X,X,X,,
HOTFOODKITCHEN,,,,X,,,,,,
HT-AFC,Harris Teeter,,,X,X,,X,X,,
JEW,Jewel Osco,,X,,X,,X,X,,X
KOSSAFOK-KO,Kosher stores,,X,X,X,,X,X,,
KOW,Kowalskis with KOW store code,,,,,X,X,X,,
KRO,KRO0511V; KRO0712L; KRO0772R,,,X,X,,X,X,,
KRO-NOGARI,5 non-Kroger stores in CA,,,X,X,,,,X,
KRO-SE1,Kroger stores in SE1 division; allowed grilled salmon,,,X,X,,X,X,,
KRO-SE1-KO,KRO-SE1 kosher stores,,,X,X,,X,X,,
LOC-NON6,RLF stores in CA,,,X,X,,,,X,
LOC-STM,RLF; FDL; Vons in CA,,,X,X,,,,X,
MIL,NEM store codes (military),X,X,X,X,X,X,X,,
MIL-NON6,Military not allowed #6 container,X,,X,X,X,X,X,,
MOL,Mollie Stones all in CA,,,X,X,X,,,X,
MTN,Martins,,X,X,X,,X,X,,
NAT,Natural stores,,,X,X,,X,,,
NAT-CA,Natural store in CA,,,X,X,,,,X,
OLIVERS,Olivers,,,X,X,,,,X,
PRC,Price Chopper,,,X,X,X,X,X,,
PUB,Publix,,,,,,X,X,,
PUB-GREEN,Publix Greenwise,,,,,,X,X,,
PUB-KO,Same as PUB but allows kosher items,,,,,,X,X,,
PUB-STM,Publix hot foods,,,,,,X,X,,
RAY,Raleys,,X,X,X,X,X,X,,
RAY-NON6,Bel Air; Nob Hill; Raleys in CA,,,X,X,X,,,X,
RLF-NON6,Ralphs in CA,,,X,X,,,,X,
RLF-NON6-KO,Ralphs in CA but also Kosher,,,X,X,,,,X,
RUS,Rouses,,X,X,X,X,X,X,,
SAFNO,Compass & Sodexo Medical,,X,X,,,X,X,,
SAFNO-COMP,SAFNO using compostable containers,,X,X,,,X,X,,
SAFNO-EEL,Military (DEC; DSA) allowed eel,X,X,X,,X,X,X,,
SAFNO-NON6,Big Johns Market; Staples Center,,,X,X,X,,,X,
SAFNO-SAL,Boeing HQ,,,X,,X,X,X,,
SAFNO-SAL-COMP,Amazon HQ,,,X,,X,X,X,,
SAFOK,Default class,,,X,X,X,X,X,,
SAFOK-DIMSUM,Cloned SAFOK; temporary until dimsum items are open to all stores;,,X,X,X,,X,X,,
SAFOK-EEL,Schnucks only; eel allowed,,,X,X,X,X,X,,
SAFOK-KO,Same as SAFOK but also allowed kosher ings,,,X,,X,X,X,,
SAFOK-N6-NG-DIM,Cloned SAFOK-NON6-NOGA; temporary until dimsum items are open to all stores,,,X,X,X,,,X,
SAFOK-NON6,SAFOK no #6 containers,,,X,X,X,X,X,,
SAFOK-NON6-NOGA,SAFOK in CA,,,X,X,X,,,X,
SPECIAL,MIT,,,X,X,X,X,X,,
SPECOK,Healthcare & Business except Compass & Sodexo,,X,X,X,X,X,X,,
SPECOK-NON6,SPECOK but no #6 containers,,,X,X,X,X,X,,
SPECOK-NON6-NOG,SPECOK in CA,,,X,X,X,,,X,
SUPAFC,,,,X,X,X,X,X,,
SUPAFC-NOGARI,CA restrictions,,,X,X,X,,,X,
TEST,,,,,,,,,,
TOY,Toyota,,,X,X,X,X,X,,
TWY,Metropolitan Market,,,X,X,X,X,X,,
UNITED,United Market,,X,X,X,,X,X,,
UNV-S-R-F,San Jose State Univ,,,X,,,,,,
UNV1,,,X,X,X,,X,X,,
UNV1-AFC,,,,X,X,X,X,X,,
UNV1-AFC-NOGARI,CA restrictions,,,X,X,X,,,X,
UNV2,,,X,X,,X,X,X,,
UNV2-AFC,,,,X,,,X,X,,
UNV2-AFC-COMP,Compostable containers allowed,,,X,,,X,X,,
UNV2-AFC-NOGARI,CA restrictions,,,X,,,,,X,
UNV2-COMP,Compostable containers allowed,,X,X,,X,X,X,,
WAL,Walmart,,,X,,X,X,X,,
WAL-NON6,Walmart with CA restrictions,,,X,,X,,,X,
