CustomerClass,ProductCode,ProductName,IsAllowed
1KRO,0001_UOMEACH,US FOODS INV.,No
1KRO,0002_UOMEACH,Big Apple Invoice,No
1KRO,0003_UOMEACH,Ramar Foods Inv.,No
1KRO,0004_UOMEACH,Kilauea Inv.,No
1KRO,0005_UOMEACH,Redondo's Invoice,No
1KRO,0006_UOMEACH,Cherry Co. Invoice,No
1KRO,0007_UOMEACH,L&C Food Distribution,No
1KRO,0008_UOMEACH,Karat Lollicup Inv.,Yes
1KRO,0013_UOMEACH,Tape,No
1KRO,2201_UOMCS11,Amberjack (Yellowtail)  11 lbs,Yes
1KRO,2204_UOMCS22,Tuna-A   (22),Yes
1KRO,2209_UOMCS22,Tuna C-Tatakimi 22lbs,Yes
1KRO,2210_UOMCS22,MSC Tuna A,No
1KRO,2211_UOMCS,MSC Albacore 22,Yes
1KRO,2216_UOMCS35,Tuna Tray,Yes
1KRO,2232_UOMCS24,Smoked Atlantic  Salmon   (24),Yes
1KRO,2237_UOMCS22,ASC Atlantic Salmon,Yes
1KRO,2240_UOMCS22,Salmon with Skin,No
1KRO,2240_UOMCS33,Salmon with Skin,No
1KRO,2244_UOMCS,Salmon.Grilled  Coho Roast Fzn. 22/CS,No
1KRO,2252_UOMCS11,Fresh Water Eel   (11),No
1KRO,2259_UOMCS96,Unakaba. Imitation Eel 4/24/CS,No
1KRO,2406_UOMCS20,Shrimp Tray Vannamei 20tray/CS,Yes
1KRO,2418_UOMCS15,Tempura Shrimp 10Pc 15tray/CS,Yes
1KRO,2436_UOMCS4,Baby Shrimp 5 lbs 4bag/CS,Yes
1KRO,2440_UOMCS16,Crab Stick Imi  H.G. CS16,Yes
1KRO,2442_UOMCS16,AFC Crab Shredded CS16,Yes
1KRO,2444_UOMCS,Natural Imitation Crab Stick,No
1KRO,2466_UOMCS25,Real Crab   (5) 25lb/CS,Yes
1KRO,2472_UOMCS,Kosh Imit Crab Stick 12/1lbs,No
1KRO,2605_UOMCASE,Fried Tofu Cubes 10 x 2.2lbs,Yes
1KRO,2606_UOMCS6,Natural Tempura Crispy 6bag/CS,Yes
1KRO,2619_UOMCS4,Fish Roe Masago 4.4 lbs  4/CS,No
