BatchId,OrderNo,DocDate,CustomerId,CustomerName,Address1,Address2,City,ST,Zip,Phone,Comment,FCID,FCPhone,ItemNo,ItemDesc,UOM,UOMQty,LineSeq,OrderQty,Unit/Each,PickQty
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2211,MSC Albacore 22,CS,1,1,1,Unit,1
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2237,ASC Atlantic Salmon,CS22,22,2,3,Unit,3
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2244,Salmon Grilled  Coho Roast Fzn  22/CS,CS,1,60,2,Unit,2
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2406,Shrimp Tray Vannamei 20tray/CS,CS20,20,3,1,Unit,1
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2418,Tempura Shrimp 10Pc 15tray/CS,CS15,15,4,3,Unit,3
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2436,Baby Shrimp 5 lbs 4bag/CS,CS4,4,5,1,Unit,1
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2440,Crab Stick Imi  H.G. CS16,CS16,16,6,6,Unit,6
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2442,AFC Crab Shredded CS16,CS16,16,7,2,Unit,2
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2821,Pork Shumai 108pc/CS,CS,1,8,2,Unit,2
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2831,Crispy Chicken (Karaage) 30#/CS,CS,1,9,1,Unit,1
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,2837,Chicken Skewers (Yakitori) 20bags/cs,CS,1,75,1,Unit,1
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,3210,Ginger B 20LB,EACH,1,10,5,Unit,5
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,6304,Warm Up Microwave Sticker,ROLL,1,80,1,,1
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,3245,PREMIUM RICE 40 lbs,BAG,1,14,17,Unit,17
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,3246,AFC Brown Rice  40#,BAG,1,15,2,Unit,2
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,3256,Vinegar  H-100 Natural 5.28gal,CS,1,16,5,Unit,5
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,3220,Seaweed Nori 200 1/2SH,CS40,40,12,1,Unit,1
LANTER 121720,A376113,12/16/2020,PUB1485,Publix 1485 AFC Clear,2186 Cherry Road,,Rock Hill,SC,29732,--,thank you!,BB-505,704-421-5693,3235,Soy Sauce L/S 1000 pc,CS,1,13,5,Unit,5
