Product Code,Product Name,Total Amount
2440_UOMCS16,Crab Stick Imi  H.G. CS16,4487157928.9600
2236_UOMCS22,Atlantic Salmon 22,14062016.5600
2204_UOMCS22,Tuna-A   (22),7838985.0000
3220_UOMCS40,Seaweed Nori 200 1/2SH,6613024.1700
2209_UOMCS22,Tuna C-Tatakimi 22lbs,5351048.2400
2436_UOMCS4,Baby Shrimp 5 lbs 4bag/CS,4209142.5000
2237_UOMCS22,ASC Atlantic Salmon,3918960.0000
5190_UOMCS16,AFC-30 Lid Pack,3336338.2400
2441_UOMCS16,Crab Flake Imi  H.G.CS16,2593740.8000
5155_UOMCS24,AFC-4 Blue Body Pack,2498653.2000
6208_UOMCS16,Thermo Vertical Blue #3,2418222.8000
2810_UOMCS30,Grilled Dumpling Shrimp 30/CS,2346250.5700
2442_UOMCS16,AFC Crab Shredded CS16,2320398.0800
2418_UOMCS15,Tempura Shrimp 10Pc 15tray/CS,2230789.1900
5186_UOMCS16,AFC-30 Clear Body,2198987.5000
5185_UOMCS16,AFC-30 Blue Body Pack,2191513.3100
2406_UOMCS20,Shrimp Tray Vannamei 20tray/CS,2166955.8200
5160_UOMCS24,AFC-4 Lid  Pack,1962258.4800
3245_UOMBAG,PREMIUM RICE 40 lbs,1856003.2800
3256_UOMCS,Vinegar  H-100 Natural 5.28gal,1569083.7700
3235_UOMCS,Soy Sauce L/S 1000 pc,1480275.3200
3290_UOMCS10,Fried Onions 10/1kg,1318405.6800
2831_UOMCS,Crispy Chicken (Karaage) 30#/CS,1208439.9600
3215_UOMCS16,Wasabi 2.2lb,1198402.0800
2835_UOMCS5,#3 Teriyaki Chicken 5x5.28 lbs bag,1112908.1400
