Item No,Item Description,Category,UOM,UOM Qty,Cost,Ext. Cost,Price,Ext. Price,Type,Status
2201,Amberjack (Yellowtail)  11 lbs,LBS,CS11,11,12.12000,133.32000,141.24000,1553.64000,Sales Inventory,Active
2202,Albacore Loin 11 lbs/CS,CS,CS,1,75.35000,75.35000,79.97000,79.97000,Discontinued,Inactive
2203,Tuna-AA  11#/BX,CS,CS,1,93.75000,93.75000,110.00000,110.00000,Sales Inventory,Active
2204,Tuna-A   (22),LBS,CS22,22,7.60000,167.20000,245.63000,5403.86000,Sales Inventory,Active
2205,Tuna- Block  22/CS,LBS,CS22,22,6.85000,150.70000,176.00000,3872.00000,Discontinued,Inactive
2206,Tuna- NTC  AAA  22lbs/CS,CS,CS,1,214.50000,214.50000,242.00000,242.00000,Discontinued,Inactive
2207,Albacore 22lbs.,CS,CS,1,181.50000,181.50000,174.40000,174.40000,Sales Inventory,Active
2208,Tuna-NTC    C    (22)/CS,LBS,CS22,22,8.00000,176.00000,165.00000,3630.00000,Discontinued,Inactive
2209,Tuna C-Tatakimi 22lbs,LBS,CS22,22,6.70000,147.40000,167.48000,3684.56000,Sales Inventory,Active
2210,MSC Tuna A,LBS,CS22,22,8.50000,187.00000,255.00000,5610.00000,Sales Inventory,Active
2211,MSC Albacore 22,CS,CS,1,181.50000,181.50000,200.20000,200.20000,Sales Inventory,Active
2212,Tuna w/ skin,LBS,CS22,22,7.95000,174.90000,220.00000,4840.00000,Sales Inventory,Active
2216,Tuna Tray,TRAY,CS35,35,6.48000,226.80000,238.02000,8330.70000,Sales Inventory,Active
2220,Smk Steelhead Loin   (24),LBS,CS24,24,11.40000,273.60000,264.00000,6336.00000,Discontinued,Inactive
2224,Froz Steelhead Fillet   (22),LBS,CS22,22,9.00000,198.00000,192.50000,4235.00000,Discontinued,Inactive
2228,Salmon Atl Hann   (22),LBS,CS22,22,8.20000,180.40000,264.88000,5827.36000,Discontinued,Inactive
2232,Smoked Atlantic  Salmon   (24),LBS,CS24,24,10.35000,248.40000,274.05000,6577.20000,Sales Inventory,Active
2234,Atlantic Salmon Bits and Pieces,LB,CS22,22,5.50000,121.00000,139.15000,3061.30000,Discontinued,Active
2236,Atlantic Salmon 22,LBS,CS22,22,6.60000,145.20000,222.18000,4887.96000,Sales Inventory,Active
2236,Atlantic Salmon 22,LBS,CS33,33,6.60000,217.80000,328.35000,10835.55000,Sales Inventory,Active
2237,ASC Atlantic Salmon,LBS,CS22,22,6.60000,145.20000,190.00000,4180.00000,Sales Inventory,Active
