ProductCode,ProductName,Price,UOM,IsActive
0001_UOMEACH,US FOODS INV.,1.0000,EACH,yes
0002_UOMEACH,Big Apple Invoice,1.0000,EACH,yes
0003_UOMEACH,Ramar Foods Inv.,1.0000,EACH,yes
0004_UOMEACH,Kilauea Inv.,1.0000,EACH,yes
0005_UOMEACH,Redondo's Invoice,121.3400,EACH,yes
0006_UOMEACH,Cherry Co. Invoice,1.0000,EACH,yes
0007_UOMEACH,L&C Food Distribution,0.8000,EACH,yes
0008_UOMEACH,Karat Lollicup Inv.,1.0000,EACH,yes
0013_UOMEACH,Tape,1.3900,EACH,yes
2201_UOMCS11,Amberjack (Yellowtail)  11 lbs,141.2400,CS11,yes
2201_UOMLBS,Yellow Tail Loin,12.6500,LBS,no
2202_UOMCS,Albacore Loin 11 lbs/CS,79.9700,CS,no
2203_UOMCS,Tuna-AA  11#/BX,110.0000,CS,no
2204_UOMCS22,Tuna-A   (22),245.6300,CS22,yes
2204_UOMLBS,Tuna-A   (22),11.9500,LBS,no
2205_UOMCS22,Tuna- Block  22/CS,176.0000,CS22,no
2205_UOMLBS,Tuna- Block  22/CS,8.0000,LBS,no
2206_UOMCS,Tuna- NTC  AAA  22lbs/CS,242.0000,CS,no
2207_UOMCS,Albacore 22lbs.,174.4000,CS,no
2207_UOMCS22,Albacore 22lbs.,171.8200,CS22,no
2207_UOMlb,Albacore 22lbs.,7.8100,lb,no
2208_UOMCS22,Tuna-NTC    C    (22)/CS,165.0000,CS22,no
2208_UOMLBS,Tuna-NTC    C    (22)/CS,7.5000,LBS,no
2209_UOMCS22,Tuna C-Tatakimi 22lbs,167.4800,CS22,yes
2209_UOMLBS,Tuna C-Tatakimi 22lbs,7.5000,LBS,no
2210_UOMCS,Tuna-Saku Yellow Fin,253.0000,CS,no
2210_UOMCS22,MSC Tuna A,255.0000,CS22,yes
2211_UOMCS,MSC Albacore 22,200.2000,CS,yes
2212_UOMCS22,Tuna w/ skin,220.0000,CS22,no
2212_UOMLBS,Tuna w/ skin,10.0000,LBS,no
2213_UOMCS,MSC Tuna Tatakimi 22,175.4500,CS,no
2216_UOMCS35,Tuna Tray,238.0200,CS35,yes
2216_UOMTRAY,Tuna Tray,6.7000,TRAY,no
2220_UOMCS22,Smk Steelhead Loin   (24),242.0000,CS22,no
2220_UOMCS24,Smk Steelhead Loin   (24),264.0000,CS24,no
2220_UOMLBS,Smk Steelhead Loin   (24),11.0000,LBS,no
2224_UOMCS22,Froz Steelhead Fillet   (22),192.5000,CS22,no
2224_UOMCS24,Froz Steelhead Fillet   (22),210.0000,CS24,no
2224_UOMLBS,Froz Steelhead Fillet   (22),8.7500,LBS,no
2228_UOMCS22,Salmon Atl Hann   (22),264.8800,CS22,no
2228_UOMLBS,Salmon Atl Hann   (22),12.0400,LBS,no
2232_UOMCS24,Smoked Atlantic  Salmon   (24),274.0500,CS24,yes
2232_UOMLBS,Smoked Atlantic  Salmon   (24),11.2500,LBS,no
2234_UOMCS22,Atlantic Salmon Bits and Pieces,139.1500,CS22,no
2236_UOMCS22,Atlantic Salmon 22,222.1800,CS22,no
2236_UOMCS24,Atlantic Salmon 22,230.0000,CS24,no
2236_UOMCS33,Atlantic Salmon 22,328.3500,CS33,no
2236_UOMLBS,Atlantic Salmon (24),9.9500,LBS,no
2236_UOMLBS,Atlantic Salmon (24),9.9500,LBS,no
2237_UOMCS22,ASC Atlantic Salmon,190.0000,CS22,yes
2237_UOMCS33,ASC Atlantic Salmon,328.3500,CS33,no
2238_UOMCS10,Pre Cut Atlantic Salmon 10/CS,121.8000,CS10,no
2240_UOMCS22,Salmon with Skin,161.8900,CS22,yes
2240_UOMCS33,Salmon with Skin,239.2500,CS33,yes
2240_UOMLBS,Salmon with Skin,7.2500,LBS,no
2244_UOMCS,Salmon.Grilled  Coho Roast Fzn. 22/CS,269.9900,CS,yes
2245_UOMLBS,Sockeye Salmon Fil,12.6300,LBS,no
2248_UOMCS10,Tilapia Fillet   10 lbs box,62.6800,CS10,no
2248_UOMCS11,Tilapia Fillet   11 lbs box,71.5000,CS11,no
2248_UOMCS22,Tilapia Fillet   11 lbs box,132.0000,CS22,no
2248_UOMLBS,Tilapia Fillet   11 lbs box,7.0000,LBS,no
2249_UOMCS10,Tilapia Fiflet  10#/CS Tristan,82.9500,CS10,no
2252_UOMCS11,Fresh Water Eel   (11),230.4000,CS11,yes
2252_UOMCS22,Fresh Water Eel   (11),383.9000,CS22,no
2252_UOMLBS,Fresh Water Eel   (11),17.4500,LBS,no
2256_UOMCS16,Fresh Water Eel 20P Tray,120.0000,CS16,no
2256_UOMTRAY,Fresh Water Eel 20P,7.5000,TRAY,no
2259_UOMCS24,Unakaba. Imitation Eel 4/24/CS,21.1200,CS24,no
2259_UOMCS96,Unakaba. Imitation Eel 4/24/CS,84.4800,CS96,yes
2260_UOMCS20,Minced Fr Wtr Eel 20PK,240.0000,CS20,no
2260_UOMCS22,Minced Fr Wtr Eel 22PK,240.0200,CS22,no
2260_UOMPK,Minced Fr Wtr Eel 20PK,10.9100,PK,no
2268_UOMCS12,Baby Octopus 12/2.2 lbs/CS,207.2400,CS12,no
2268_UOMPK,Baby Octopus 12/2.2 lbs/CS,17.2700,PK,no
2272_UOMCS12,Squid 20P 12tray/CS,62.7600,CS12,no
2272_UOMCS25,Squid 20P 25tray/CS,130.7500,CS25,no
2272_UOMTRAY,Squid 20P 12tray/CS,5.2300,TRAY,no
2276_UOMCS12,Octopus 20P 12 tray/CS,72.0000,CS12,no
2276_UOMCS25,Octopus 20P 25tray/CS,150.0000,CS25,no
2276_UOMTRAY,Octopus 20P 12 tray/CS,6.0000,TRAY,no
2280_UOMEACH,Shime Saba 15 Pc,2.3000,EACH,no
2406_UOMCS20,Shrimp Tray Vannamei 20tray/CS,161.9900,CS20,yes
2406_UOMTRAY,Shrimp Tray Vannamei 20tray/CS,8.4000,TRAY,no
2412_UOMBAG,Shrimp Broken 20bag/CS,6.1200,BAG,no
2412_UOMCS10,Shrimp Broken,122.4000,CS10,no
2412_UOMCS20,Shrimp Broken 20bag/CS,122.4000,CS20,no
2418_UOMCS15,Tempura Shrimp 10Pc 15tray/CS,92.5700,CS15,yes
2418_UOMTRAY,Tempura Shrimp 10Pc 15tray/CS,6.4000,TRAY,no
2420_UOMCS,Tempura Shrimp Gluten Free,57.1000,CS,no
2424_UOMCS,Shrimp Tray Hannaford 30/30pc,225.0000,CS,no
2430_UOMCS,Shr Tempura Han 100pc/CS,44.4000,CS,no
2432_UOMCS,Special Tempura/Hot Bowl 10p/16tray/CS,57.6000,CS,no
2436_UOMBAG,Baby Shrimp 5 lbs 4bag/CS,45.0000,BAG,no
2436_UOMCS4,Baby Shrimp 5 lbs 4bag/CS,182.7000,CS4,yes
2440_UOMCS16,Crab Stick Imi  H.G. CS16,98.5600,CS16,yes
2440_UOMPK,Crab Stick Imi  H.G. CS16,5.9000,PK,no
2441_UOMCS16,Crab Flake Imi  H.G.CS16,89.6000,CS16,no
2441_UOMPK,Crab Flake Imi  H.G.CS16,5.9000,PK,no
2442_UOMCS16,AFC Crab Shredded CS16,98.5600,CS16,yes
2442_UOMPK,Crab Flake  Use 2441,4.4000,PK,no
2443_UOMCS16,Crab Stick India CS16,89.6000,CS16,no
2444_UOMCS,Natural Imitation Crab Stick,73.9200,CS,yes
2448_UOMCS16,Crab Stick Imi USE Item 2440,70.4000,CS16,no
2448_UOMPK,Crab Stick Imi USE Item 2440,4.4000,PK,no
2450_UOMCS,Crab Stick Tetsujin 22 lbs,59.0000,CS,no
2451_UOMCS,Imi Crab Flake Kosher,64.9000,CS,no
2454_UOMCS,Kanikama Osaki,149.6000,CS,no
2460_UOMCS24,Boiled Crab   (1) 24/CS,177.1200,CS24,no
2460_UOMlb,Boiled Crab   (1),7.3800,lb,no
2466_UOMCS25,Real Crab   (5) 25lb/CS,222.0300,CS25,yes
2466_UOMCS30,Real Crab   (5) 25lb/CS,262.5000,CS30,no
2466_UOMlb,Real Crab   (5) 25lb/CS,8.7500,lb,no
2472_UOMCS,Kosh Imit Crab Stick 12/1lbs,71.3900,CS,yes
2605_UOMCASE,Fried Tofu Cubes 10 x 2.2lbs,69.7800,CASE,yes
2606_UOMBAG,Natural Tempura Crispy 6bag/CS,7.6500,BAG,no
2606_UOMCS6,Natural Tempura Crispy 6bag/CS,48.5700,CS6,yes
2607_UOMBAG,Tem Crispies Gluten Free,9.5700,BAG,no
2612_UOMBOT,Salmonroe  2.2 lbs,59.0000,BOT,no
2618_UOMCS17.6,Fish Roe   (4.4),96.8000,CS17.6,no
2618_UOMLBS,Fish Roe   (4.4),5.5000,LBS,no
2619_UOMCS4,Fish Roe Masago 4.4 lbs  4/CS,122.8200,CS4,yes
2619_UOMPK,Fish Roe  4.4 lbs  4/CS,24.2000,PK,no
2624_UOMLBS,Fish Roe   (1.1),5.5000,LBS,no
2625_UOMCS12,Fish Roe 0.44 lbs. 30pk/cs,72.6000,CS12,no
2625_UOMCS24,Fish Roe 1.1 lbs  24/CS,145.2000,CS24,no
2625_UOMCS30,Fish Roe Masago 0.44 lbs. 30pk/cs,96.2000,CS30,yes
2625_UOMPK,Fish Roe 1.1 lbs  24/CS,6.0500,PK,no
2630_UOMCS12,Tobiko Red  12/1.1 lbs/CS,200.9700,CS12,yes
2630_UOMPK,Tobiko Red  12/1.1 lbs/CS,16.5000,PK,no
